This file keeps track of all third-party software in this repository including public domain
software. This file includes names, original repositories, license name, and usage info.

LAI, https://github.com/managarm/lai, MIT License, for ACPI AML interpretation
Limine, https://github.com/limine-bootloader/limine, BSD-2-Clause, for bootloading
Flanterm, https://github.com/mintsuki/flanterm, BSD-2-Clause, for full terminal support
Printf, https://github.com/mpaland/printf, MIT License, for a full-featured printf library
LwIP, https://savannah.nongnu.org/projects/lwip/, BSD-style license, for networking support
liballoc, https://github.com/blanham/liballoc, public domain, for malloc/realloc/calloc/free support
monocypher (mcrypto), https://github.com/LoupVaillant/monocypher, CC0, for cryptography support
zlib, https://zlib.net/, Zlib, for compression support
nasm, https://nasm.us, BSD-2-Clause, for assembly support
libbcrypt, https://github.com/rg3/libbcrypt, CC0-1.0, for bcrypto support
uacpi, https://github.com/uACPI/uACPI, MIT license, new ACPI support
stb_ds, https://github.com/nothings/stb, Unlicense, hashtables for ld
dlmalloc, https://gee.cs.oswego.edu/dl/html/malloc.html, Public Domain, userspace malloc/realloc/calloc/free
